sofifa_id,overall_2021,position,value_eur_2021
230658,85.0,mid,11530848.0
202556,84.0,forward,11551528.0
209658,84.0,mid,11540274.0
212194,84.0,mid,11526146.0
213345,84.0,mid,11770306.0
206113,84.0,mid,11467478.0
216594,84.0,mid,13967886.0
192563,84.0,keeper,3038226.0
198706,84.0,mid,8476968.0
212462,83.0,back,8091276.0
236583,84.0,keeper,3409709.0
198176,83.0,back,5669714.0
201995,84.0,mid,11504244.0
120533,82.0,back,1420902.0
162347,83.0,mid,5487484.0
167628,83.0,keeper,1874741.0
168435,83.0,keeper,1993179.0
171877,83.0,mid,5358774.0
172879,83.0,back,4001411.0
176266,83.0,mid,3772708.0
176635,84.0,mid,6435192.0
177610,84.0,mid,4534578.0
177683,83.0,keeper,2354309.0
180930,83.0,forward,4279796.0
181291,84.0,mid,6253891.0
181458,84.0,mid,6768104.0
181783,83.0,forward,4447044.0
181872,83.0,mid,5513095.0
183907,84.0,back,4419933.0
184432,84.0,back,6099816.0
185020,83.0,mid,5389214.0
186942,84.0,mid,6728227.0
187961,83.0,mid,6005530.0
188377,84.0,back,6366835.0
190286,83.0,mid,7562482.0
190483,84.0,mid,9017868.0
197965,83.0,mid,7395736.0
199434,83.0,mid,6317310.0
200647,83.0,forward,7139365.0
204485,84.0,forward,10451328.0
205678,83.0,mid,7614203.0
207863,83.0,back,4285206.0
226271,84.0,mid,10382648.0
210413,84.0,back,6019288.0
226226,84.0,mid,10582740.0
231281,83.0,back,10299418.0
232432,84.0,forward,9751810.0
205175,83.0,forward,8442896.0
211300,84.0,forward,9918672.0
212523,83.0,mid,10302002.0
213331,83.0,back,5854565.0
219683,83.0,mid,9717904.0
221087,83.0,keeper,3435393.0
224411,83.0,mid,10210520.0
226110,84.0,mid,10518872.0
229237,83.0,back,7593544.0
231677,84.0,forward,10199822.0
203574,84.0,back,7502238.0
210008,84.0,mid,9683134.0
210035,83.0,back,9360446.0
212188,83.0,forward,10196138.0
213565,83.0,mid,10601068.0
220793,83.0,back,6162171.0
220834,84.0,forward,10210080.0
200458,83.0,back,7334196.0
202166,83.0,mid,8591712.0
204935,84.0,keeper,3272041.0
208418,83.0,mid,9680208.0
224179,83.0,forward,7394801.0
192984,83.0,keeper,2915164.0
198717,83.0,forward,10950078.0
200454,83.0,forward,7204986.0
201153,83.0,forward,7079615.0
205693,83.0,forward,7855266.0
207566,83.0,mid,5621965.0
212404,83.0,mid,8877504.0
217940,83.0,back,5177062.0
188152,83.0,mid,8001630.0
188943,83.0,keeper,2540607.0
198141,83.0,back,5004154.0
198950,83.0,mid,8315468.0
199987,82.0,keeper,2486926.0
200949,83.0,forward,8547130.0
204970,83.0,forward,7673128.0
205498,83.0,mid,6329961.0
1179,81.0,keeper,1049383.0
5479,81.0,keeper,722885.0
104389,82.0,keeper,818765.0
139720,82.0,back,2091758.0
157481,82.0,back,2732319.0
159261,82.0,forward,3026716.0
163587,82.0,keeper,1978215.0
167397,82.0,forward,3903770.0
168609,82.0,back,1919948.0
169416,83.0,forward,5748712.0
170481,82.0,back,2576594.0
178005,82.0,keeper,2621393.0
178518,82.0,mid,4809043.0
178562,82.0,mid,4316450.0
179844,83.0,forward,6398276.0
179846,83.0,mid,4398937.0
179944,82.0,back,3209962.0
183574,82.0,forward,6232502.0
183711,82.0,mid,6240596.0
184484,83.0,mid,7250450.0
186561,83.0,mid,7158736.0
190584,82.0,mid,6495489.0
190815,82.0,mid,4646246.0
190941,82.0,keeper,2578840.0
